status_in_reply_to_screen_name,Vodafone username,Phone number
Adsy_2014,Username1,412345678
Aeries82,Username2,412345679
ahboytheone,Username3,412345680
alexis_lydia,Username4,412345681
amb_jk,Username5,412345682
AndroidReviews0,Username6,412345683
artywah,Username7,412345684
AWadswort,Username8,412345685
AWelsh67,Username9,412345686
BangerzGab24,Username10,412345687
boourns91,Username11,412345688
bowermanjl,Username12,412345689
brady_102,Username13,412345690
brightjaimin,Username14,412345691
caoimhinmac1984,Username15,412345692
carlosssyo,Username16,412345693
CaroV7,Username17,412345694
challisdarren,Username18,412345695
char_pierce,Username19,412345696
charlesfirth,Username20,412345697
charlietech,Username21,412345698
clingyhyuk,Username22,412345699
CorinnaSladey,Username23,412345700
dance_dream17,Username24,412345701
DaniDrawsStuff,Username25,412345702
Danielicious69,Username26,412345703
danielmfarrell,Username27,412345704
datatheory,Username28,412345705
DidjaX,Username29,412345706
dimityV,Username30,412345707
dracomjb,Username31,412345708
drpaulharrigan,Username32,412345709
em7733,Username33,412345710
emmerzulu,Username34,412345711
eon82,Username35,412345712
esseeeayeenn,Username36,412345713
gabimvd,Username37,412345714
GarkyLee,Username38,412345715
gazza12jones,Username39,412345716
Gesthemene,Username40,412345717
GlebeMac,Username41,412345718
gmclwill,Username42,412345719
greenmachine_78,Username43,412345720
GTS_MartialAD,Username44,412345721
guy_inc0gnito,Username45,412345722
habboprincessxo,Username46,412345723
habboqueenswag,Username47,412345724
HMacEwan,Username48,412345725
hulieanne,Username49,412345726
Huski67,Username50,412345727
IamJacCabrita,Username51,412345728
iHarry_S,Username52,412345729
isabelmachida,Username53,412345730
itskieren,Username54,412345731
itslouisbuchler,Username55,412345732
JakePT,Username56,412345733
jamie_stenhouse,Username57,412345734
JeevanMahtani,Username58,412345735
jenwburn,Username59,412345736
Jessie_OS,Username60,412345737
jijing,Username61,412345738
Joe_Miranda,Username62,412345739
JunkyManiac,Username63,412345740
Juzman007,Username64,412345741
KHS_HK,Username65,412345742
kikirobinson,Username66,412345743
kimberleyhendry,Username67,412345744
kittyctc,Username68,412345745
LockwoosAnthony,Username69,412345746
lolicaride,Username70,412345747
luda_reza,Username71,412345748
lukehopewell,Username72,412345749
Lukependergast,Username73,412345750
Luv_ChelseaFC,Username74,412345751
MaizeWallin,Username75,412345752
man0verbord,Username76,412345753
MarkAvengerAU,Username77,412345754
max2000warlord,Username78,412345755
MFaroTusino,Username79,412345756
mickobrien79,Username80,412345757
millamorphine,Username81,412345758
Mitch_Grima,Username82,412345759
mjhaslberger,Username83,412345760
mmdush,Username84,412345761
Mukeshadh,Username85,412345762
music000070,Username86,412345763
Nashtendo,Username87,412345764
neilorange63,Username88,412345765
NeilRGunning,Username89,412345766
nirving,Username90,412345767
NissanEssery,Username91,412345768
numloxx,Username92,412345769
ohmygodandy,Username93,412345770
Optus,Username94,412345771
ozind59,Username95,412345772
pangalloGA,Username96,412345773
PatchouliW,Username97,412345774
PeterDT82,Username98,412345775
psychotic_kitty,Username99,412345776
rarariineyx,Username100,412345777
realrichkelly,Username101,412345778
RobertIdAu,Username102,412345779
robertmassaioli,Username103,412345780
s3con,Username104,412345781
sarahhawick,Username105,412345782
sassystephen1,Username106,412345783
scumbag_au,Username107,412345784
Semravdl,Username108,412345785
shanewieck,Username109,412345786
ShastaJamie,Username110,412345787
Sunny2194,Username111,412345788
Telstra,Username112,412345789
theboyfoy,Username113,412345790
thenashy,Username114,412345791
TheNutzAU,Username115,412345792
TheStevenB,Username116,412345793
thirstyinmelb,Username117,412345794
thisisrachels,Username118,412345795
timjmcphail,Username119,412345796
TMobileHelp,Username120,412345797
tobyiidog,Username121,412345798
twotothevalley,Username122,412345799
UnaCLynch,Username123,412345800
universum_eb,Username124,412345801
UNSPORTYSPlCE,Username125,412345802
ValueMgmt,Username126,412345803
VodafoneAU,Username127,412345804
VodafoneAU_Help,Username128,412345805
yellekau,Username129,412345806
zara_moore,Username130,412345807
ZoeVaughan24,Username131,412345808
